Date,Ticker,Price,Daily_Change_%,RollingVol_%,Beta,MA10,MA50,Momentum_%,RSI,Volume
2025-09-30,AAPL,254.6300048828125,0.07861188255666729,28.933663878694837,1.094,250.65799865722656,230.0912759399414,6.920013188617347,82.76837852720342,37704300
2025-10-01,AAPL,255.4499969482422,0.3220327729275496,26.214950075558278,1.094,252.3039978027344,230.91713684082032,6.8873137272466245,81.7274206197905,48713900
2025-10-02,AAPL,257.1300048828125,0.657666061710982,26.228288762643537,1.094,254.22899780273437,231.78159240722655,8.092315287063823,80.58356599287815,42630200
2025-10-03,AAPL,258.0199890136719,0.34612223931820285,26.18594596156063,1.094,255.48099670410156,232.6716387939453,5.099791858929481,79.6440575336502,49155600
2025-10-06,AAPL,256.69000244140625,-0.5154587353288997,26.061427850517436,1.094,255.54199829101563,233.53268798828125,0.23821301980913034,75.86499194485033,44664100
2025-10-07,AAPL,256.4800109863281,-0.08180741481198517,25.181823162736027,1.094,255.74700012207032,234.3861410522461,0.805729815493561,74.83674023919197,31955800
2025-10-08,AAPL,258.05999755859375,0.6160271773966164,21.07246895026703,1.094,256.32200012207034,235.32673095703126,2.2789425926987628,78.27919189845701,36496900
2025-10-09,AAPL,254.0399932861328,-1.5577789314472068,22.253746329403523,1.094,256.0389999389648,236.23127044677733,-1.1017253415540385,63.31048791590146,38322000
2025-10-10,AAPL,245.27000427246094,-3.4522080166306646,25.77633744419763,1.094,255.0199996948242,236.98997650146484,-3.9888836505119762,32.14403275378055,61999100
2025-10-13,AAPL,247.66000366210938,0.9744360696440912,25.714378877401447,1.094,254.34300079345704,237.90016479492186,-2.66084550114295,39.08416606471194,38142900
2025-10-14,AAPL,247.77000427246094,0.04441597703503941,25.683954200839395,1.094,253.65700073242186,238.79317504882812,-2.6941053602495546,42.17241301292633,35478000
2025-10-15,AAPL,249.33999633789062,0.6336489641027176,25.723907499136295,1.094,253.0460006713867,239.72617584228516,-2.3918577738677893,35.52477196835834,33893600
2025-10-16,AAPL,247.4499969482422,-0.7580008893106838,25.848994364784197,1.094,252.0779998779297,240.41501068115235,-3.764635690409601,34.881045778740884,39777000
2025-10-17,AAPL,252.2899932861328,1.9559492412937862,24.263779635148886,1.094,251.50500030517577,241.06519927978516,-2.220756519463085,46.468641114105246,49147000
2025-10-20,AAPL,262.239990234375,3.943873008454002,23.452979929348462,1.094,252.05999908447265,241.72819885253907,2.162136327937292,59.50062330648086,90483000
2025-10-21,AAPL,262.7699890136719,0.2021044840732289,23.274458164903837,1.094,252.68899688720703,242.43999877929687,2.4524242661854156,59.205236812888025,46659000
2025-10-22,AAPL,258.30499267578125,-1.6992033050084343,23.963112167975023,1.094,252.71349639892577,243.0130987548828,0.09493727021052667,51.380879011155486,18812021
2025-09-30,AMZN,219.57000732421875,-1.1702709034319914,27.183494129877644,1.281,224.25500030517577,227.10999938964844,-6.186710334858214,32.700985344213024,48396400
2025-10-01,AMZN,220.6300048828125,0.48276063361811783,27.230520053913665,1.281,223.15600128173827,226.97319946289062,-4.744836571132227,35.33670870273943,43933800
2025-10-02,AMZN,222.41000366210938,0.8067800117406154,22.101240513114245,1.281,222.2740020751953,226.85559967041016,-3.81438058573611,40.96349422318566,41258600
2025-10-03,AMZN,219.50999450683594,-1.3039023009411066,22.024554313124654,1.281,221.077001953125,226.6011996459961,-5.171073717658214,31.00702594332857,43639000
2025-10-06,AMZN,220.89999389648438,0.633228292302257,21.28928485821152,1.281,220.40400085449218,226.39039947509767,-2.956557062761933,28.192362915131298,43690900
2025-10-07,AMZN,221.77999877929688,0.39837252472938456,20.883588411551465,1.281,220.51100006103516,226.17019958496093,0.484795447818942,32.797212870732466,31194700
2025-10-08,AMZN,225.22000122070312,1.5510877718191152,18.74002149983347,1.281,221.01199951171876,226.0543997192383,2.275098476040527,40.505540650318316,46686000
2025-10-09,AMZN,227.74000549316406,1.118907849570383,19.233578492813646,1.281,221.97100067138672,226.00539978027345,4.396063197338562,44.48704487935575,46412100
2025-10-10,AMZN,216.3699951171875,-4.99253978296661,26.000653173182346,1.281,221.63000030517577,225.65059967041014,-1.5515532264306242,36.41409168669136,72367500
2025-10-13,AMZN,220.07000732421875,1.7100394188331425,26.25215309963588,1.281,221.4200012207031,225.75699981689453,-0.9452180141486299,49.16274384788499,37809700
2025-10-14,AMZN,216.38999938964844,-1.6721987604375044,26.197999404452883,1.281,221.10200042724608,225.85179992675782,-1.4482888502502456,45.386470705743854,45665600
2025-10-15,AMZN,215.57000732421875,-0.3789417568938358,26.082009453603682,1.281,220.59600067138672,225.8882000732422,-2.2934312861396022,46.787868057180894,45909500
2025-10-16,AMZN,214.47000122070312,-0.510277898660183,26.07947165674243,1.281,219.8020004272461,225.73140014648436,-3.5699844029807637,43.300538966284385,42414600
2025-10-17,AMZN,213.0399932861328,-0.6667636156250767,26.039039026220518,1.281,219.15500030517578,225.52959991455077,-2.947474549046847,38.194990293101,45986900
2025-10-20,AMZN,216.47999572753906,1.6147214372026486,26.527050026594697,1.281,218.71300048828124,225.40539978027343,-2.0009046134317976,46.08958839175062,38882800
2025-10-21,AMZN,222.02999877929688,2.563748688697798,26.129263549196363,1.281,218.73800048828124,225.4199996948242,0.11272432202003024,51.590899948258915,50071600
2025-10-22,AMZN,218.9001007080078,-1.4096735074075495,26.623882573465742,1.281,218.10601043701172,225.3686016845703,-2.8061009139690785,46.13020283944947,20381530
2025-09-30,AVGO,329.9100036621094,0.6129947554252002,55.31785483954099,1.208,338.0167236328125,314.6472741699219,-8.201317510257677,13.176101751722754,20109500
2025-10-01,AVGO,333.3900146484375,1.054836454699415,55.26441358962127,1.208,336.7979339599609,315.7528045654297,-3.5268159009217426,22.475739803243613,21122700
2025-10-02,AVGO,338.17999267578125,1.4367490977181152,55.30336052839279,1.208,336.14000244140624,316.85230895996096,-1.9083792766497965,29.37920960126513,19917600
2025-10-03,AVGO,338.3699951171875,0.056183820900490566,44.35090383972148,1.208,335.54200134277346,317.85538513183593,-1.7366083578725044,23.344593346285265,14749100
2025-10-06,AVGO,335.489990234375,-0.8511407407193583,42.88463507570496,1.208,335.2119995117188,318.7715118408203,-0.9740601042870778,23.95678040349732,18465700
2025-10-07,AVGO,336.4100036621094,0.2742297697441387,41.871981007972586,1.208,334.95899963378906,319.62377990722655,-0.7464444329595588,36.10414191987034,18086700
2025-10-08,AVGO,345.5,2.7020588683268176,23.605377446326376,1.208,335.5779998779297,320.5955535888672,1.8242912044869275,50.89760611249385,21478300
2025-10-09,AVGO,345.0199890136719,-0.13893226811233506,21.878337970878622,1.208,336.4699981689453,321.45390563964844,2.6539668991880205,50.81052822782511,17643700
2025-10-10,AVGO,324.6300048828125,-5.9097979189986605,29.800909264937232,1.208,335.47999877929686,322.0825524902344,-2.9593740270258406,37.393159954810514,28941000
