Date,AAPL,AMZN,AVGO,GOOG,GOOGL,LLY,META,MSFT,NVDA,TSLA
2025-07-25,213.63754272460938,231.44000244140625,289.68365478515625,193.9066925048828,193.0073699951172,810.908935546875,712.1992797851562,512.866943359375,173.49021911621094,316.05999755859375
2025-07-28,213.80735778808594,232.7899932861328,293.7966003417969,193.2472686767578,192.4079132080078,806.3389282226562,717.14599609375,511.65887451171875,176.7400360107422,325.5899963378906
2025-07-29,211.03050231933594,231.00999450683594,296.91131591796875,196.25457763671875,195.5750732421875,761.2779541015625,699.52783203125,511.728759765625,175.50009155273438,321.20001220703125
2025-07-30,208.81301879882812,230.19000244140625,302.1023864746094,197.26368713378906,196.35438537597656,758.4142456054688,694.7410888671875,512.3976440429688,179.25990295410156,319.0400085449219
2025-07-31,207.33470153808594,234.11000061035156,293.1976623535156,192.68777465820312,191.728515625,738.4480590820312,772.9183349609375,532.6243896484375,177.85997009277344,308.2699890136719
2025-08-01,202.1505889892578,214.75,288.1463317871094,189.78036499023438,188.96099853515625,760.6593017578125,749.504150390625,523.2498168945312,173.710205078125,302.6300048828125
2025-08-04,203.11949157714844,211.64999389648438,297.2107849121094,195.5751953125,194.86570739746094,767.3146362304688,775.8463745117188,534.7609252929688,179.98985290527344,309.260009765625
2025-08-05,202.68995666503906,213.75,292.428955078125,195.1455841064453,194.4960479736328,764.2713623046875,762.945068359375,526.8838500976562,178.24993896484375,308.7200012207031
2025-08-06,213.0082550048828,222.30999755859375,301.1540222167969,196.74415588378906,195.91476440429688,744.7342529296875,771.4692993164062,524.0784912109375,179.40988159179688,319.9100036621094
2025-08-07,219.7805633544922,223.1300048828125,303.2404479980469,197.10382080078125,196.34439086914062,639.4554443359375,761.316162109375,519.9852294921875,180.7598114013672,322.2699890136719
2025-08-08,229.0900115966797,222.69000244140625,304.4483642578125,201.90953063964844,201.24000549316406,624.2788696289062,768.7811279296875,521.1832275390625,182.689697265625,329.6499938964844
2025-08-11,227.17999267578125,221.3000030517578,303.38018798828125,201.449951171875,200.8203887939453,633.8278198242188,765.3534545898438,520.9136962890625,182.0497283935547,339.0299987792969
2025-08-12,229.64999389648438,221.47000122070312,312.294921875,203.97769165039062,203.15829467773438,638.0286254882812,789.4671630859375,528.3713989257812,183.14967346191406,340.8399963378906
2025-08-13,233.3300018310547,224.55999755859375,308.5613098144531,202.84869384765625,201.779541015625,659.04248046875,779.5538940429688,519.7256469726562,181.5797576904297,339.3800048828125
2025-08-14,232.77999877929688,230.97999572753906,310.69769287109375,203.63800048828125,202.75865173339844,682.9299926757812,781.6024780273438,521.6224975585938,182.00973510742188,335.5799865722656
2025-08-15,231.58999633789062,231.02999877929688,305.8160400390625,204.72702026367188,203.71778869628906,701.22998046875,784.7003784179688,519.3162841796875,180.4398193359375,330.55999755859375
2025-08-18,230.88999938964844,231.49000549316406,305.2370300292969,204.10755920410156,203.3181610107422,698.0499877929688,766.8524169921875,516.2512817382812,181.99972534179688,335.1600036621094
2025-08-19,230.55999755859375,228.00999450683594,294.40557861328125,202.30918884277344,201.389892578125,703.2100219726562,750.97314453125,508.933349609375,175.63009643554688,329.30999755859375
2025-08-20,226.00999450683594,223.80999755859375,290.6719970703125,200.01123046875,199.1418914794922,705.4400024414062,747.2156372070312,504.8900146484375,175.39010620117188,323.8999938964844
2025-08-21,224.89999389648438,221.9499969482422,289.10467529296875,200.4408416748047,199.57150268554688,709.8200073242188,738.6014404296875,504.239990234375,174.97012329101562,320.1099853515625
2025-08-22,227.75999450683594,228.83999633789062,293.49713134765625,206.535400390625,205.9058380126953,711.6799926757812,754.2808837890625,507.2300109863281,177.97996520996094,340.010009765625
2025-08-25,227.16000366210938,227.94000244140625,293.72674560546875,208.9732208251953,208.30369567871094,695.3300170898438,752.7918701171875,504.260009765625,179.79986572265625,346.6000061035156
2025-08-26,229.30999755859375,228.7100067138672,297.5002746582031,207.76429748535156,206.95489501953125,736.030029296875,753.5913696289062,502.0400085449219,181.75975036621094,351.6700134277344
2025-08-27,230.49000549316406,229.1199951171875,299.7364501953125,208.02407836914062,207.29458618164062,734.1699829101562,746.8759155273438,506.739990234375,181.5897674560547,349.6000061035156
2025-08-28,232.55999755859375,231.60000610351562,308.1220703125,212.1803436279297,211.4508819580078,731.9600219726562,750.6033935546875,509.6400146484375,180.1598358154297,345.9800109863281
2025-08-29,232.13999938964844,229.0,296.88134765625,213.3393096923828,212.71974182128906,732.5800170898438,738.2017822265625,506.69000244140625,174.170166015625,333.8699951171875
2025-09-02,229.72000122070312,225.33999633789062,297.7298889160156,211.8007049560547,211.16114807128906,735.1900024414062,734.6141357421875,505.1199951171875,170.77037048339844,329.3599853515625
2025-09-03,238.47000122070312,225.99000549316406,301.872802734375,230.8936309814453,230.45388793945312,737.8300170898438,736.5528564453125,505.3500061035156,170.61038208007812,334.0899963378906
2025-09-04,239.77999877929688,235.67999267578125,305.5764465332031,232.45223999023438,232.09242248535156,742.9099731445312,748.1450805664062,507.9700012207031,171.65032958984375,338.5299987792969
2025-09-05,239.69000244140625,232.3300018310547,334.31719970703125,234.95999145507812,234.79000854492188,727.2100219726562,751.9425048828125,495.0,167.01058959960938,350.8399963378906
2025-09-08,237.8800048828125,235.83999633789062,345.05877685546875,234.16000366210938,234.0399932861328,738.6400146484375,751.7925415039062,498.20001220703125,168.30050659179688,346.3999938964844
2025-09-09,234.35000610351562,238.24000549316406,336.09417724609375,239.94000244140625,239.6300048828125,750.6099853515625,765.1835327148438,498.4100036621094,170.7503662109375,346.9700012207031
2025-09-10,226.7899932861328,230.3300018310547,368.9378967285156,239.55999755859375,239.1699981689453,754.6199951171875,751.4727783203125,500.3699951171875,177.32000732421875,347.7900085449219
2025-09-11,230.02999877929688,229.9499969482422,359.014892578125,240.77999877929688,240.3699951171875,756.280029296875,750.3935546875,501.010009765625,177.1699981689453,368.80999755859375
2025-09-12,234.07000732421875,228.14999389648438,359.25445556640625,241.3800048828125,240.8000030517578,755.3900146484375,755.0803833007812,509.8999938964844,177.82000732421875,395.94000244140625
2025-09-15,236.6999969482422,231.42999267578125,363.4672546386719,251.75999450683594,251.61000061035156,748.1900024414062,764.1842041015625,515.3599853515625,177.75,410.0400085449219
