Ticker,R²,MSE,MAE
AAPL,0.0067669775079115535,41.059546542344954,5.956655204885972
AMZN,0.20867027517846926,13.627761390945777,2.9487388233315364
AVGO,0.15644939105766154,56.47814090262141,5.972171142379973
GOOG,0.5999382191187841,15.413447000788082,3.01406264419933
GOOGL,0.602773203965313,15.658958306234299,3.0902723635813203
LLY,-0.6474889832081199,337.0973030306273,16.021505582083524
META,0.1366329560431062,109.49982999637513,9.148004196136773
MSFT,0.5248088360110775,8.184822668453744,2.120274424485037
NVDA,0.4053957679498207,7.9294450031923915,2.1550520915847593
TSLA,0.403670239455711,48.34521000290518,5.424223133843124
