,AAPL,AMZN,AVGO,GOOG,GOOGL,LLY,META,MSFT,NVDA,TSLA,AAPL,AMZN,AVGO,GOOG,GOOGL,LLY,META,MSFT,NVDA,TSLA,AAPL,AMZN,AVGO,GOOG,GOOGL,LLY,META,MSFT,NVDA,TSLA
,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Daily_Change_%,Daily_Change_%,Daily_Change_%,Daily_Change_%,Daily_Change_%,Daily_Change_%,Daily_Change_%,Daily_Change_%,Daily_Change_%,Daily_Change_%,RollingVol_%,RollingVol_%,RollingVol_%,RollingVol_%,RollingVol_%,RollingVol_%,RollingVol_%,RollingVol_%,RollingVol_%,RollingVol_%
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-15,208.87295532226562,226.35000610351562,280.45947265625,182.93649291992188,181.83737182617188,770.0586547851562,709.910888671875,504.9898376464844,170.69036865234375,310.7799987792969,,,,,,,,,,,,,,,,,,,,
2025-07-16,209.92176818847656,223.19000244140625,280.3296813964844,183.60589599609375,182.80650329589844,788.0690307617188,702.4358520507812,504.7901611328125,171.36033630371094,321.6700134277344,0.5021295670340598,-1.3960696164789232,-0.04627808022897861,0.3659210174455918,0.532966056423767,2.3388317064740205,-1.052954214447721,-0.039540699393569856,0.39250466013800445,3.5040912192586537,,,,,,,,,,
2025-07-17,209.78192138671875,223.8800048828125,285.9600524902344,184.53506469726562,183.41595458984375,759.8311157226562,700.9368896484375,510.8601989746094,172.99024963378906,319.4100036621094,-0.06661853268702389,0.30915472640284936,2.008481965128306,0.506066919110082,0.33338600266250573,-3.5831778609253018,-0.21339491684080336,1.2024873520068091,0.9511613744672687,-0.7025863995037018,,,,,,,,,,
2025-07-18,210.9405975341797,226.1300048828125,282.8553771972656,185.77395629882812,184.89462280273438,770.0187377929688,703.8049926757812,509.212890625,172.40028381347656,329.6499938964844,0.5523241182089356,1.0050026580880944,-1.0857024489722256,0.6713583695298952,0.806182982389525,1.3407745299589768,0.4091813499475405,-0.32245775907299157,-0.34103992656315807,3.205907804067243,,,,,,,,,,
2025-07-21,212.23912048339844,229.3000030517578,287.717041015625,190.9792938232422,189.9301300048828,760.5095825195312,712.4890747070312,509.2228698730469,171.37034606933594,328.489990234375,0.6155870251616014,1.4018476542235536,1.7187807658218146,2.801973768616395,2.7234470780260978,-1.2349251786641813,1.2338761619513638,0.001959739871204569,-0.5974107010490393,-0.35188948387289143,,,,,,,,,,
2025-07-22,214.15695190429688,227.47000122070312,278.1134948730469,191.93844604492188,191.1690216064453,774.7383422851562,704.3345947265625,504.44073486328125,167.0205841064453,332.1099853515625,0.9036182474420285,-0.7980819043607368,-3.3378440528507247,0.5022283842809783,0.6522880816912213,1.8709507536362358,-1.1445059678735103,-0.9391045243034468,-2.538223247288496,1.10201078413521,,,,,,,,,,
2025-07-23,213.9072265625,228.2899932861328,283.20477294921875,191.33897399902344,190.0600128173828,797.13916015625,713.0986938476562,505.0397644042969,170.77037048339844,332.55999755859375,-0.11660856188711044,0.3604836070819184,1.830647620496073,-0.3123251533244886,-0.5801195087693611,2.8914043165877867,1.2443090523611477,0.11875122281272965,2.2451043366986,0.13550095657464123,,,,,,,,,,
2025-07-24,213.51766967773438,232.22999572753906,288.2161865234375,193.0274658203125,191.99827575683594,803.664794921875,714.31787109375,510.0415344238281,173.73020935058594,305.29998779296875,-0.18211487803653226,1.725876103762447,1.76953711691763,0.8824609989273258,1.01981627314498,0.8186318138411197,0.1709689355221533,0.9903715255829226,1.7332274087179744,-8.197020076301287,,,,,,,,,,
2025-07-25,213.63754272460938,231.44000244140625,289.68365478515625,193.9066925048828,193.0073699951172,810.908935546875,712.1992797851562,512.866943359375,173.49021911621094,316.05999755859375,0.05614197975087887,-0.340177109187767,0.5091553945737237,0.4554930464604423,0.5255746356593649,0.9013883239347598,-0.296589430885974,0.5539566378135463,-0.13813961041784228,3.524405566934252,,,,,,,,,,
2025-07-28,213.80735778808594,232.7899932861328,293.7966003417969,193.2472686767578,192.4079132080078,806.3389282226562,717.14599609375,511.65887451171875,176.7400360107422,325.5899963378906,0.07948746335069146,0.5833005662313484,1.419805877446212,-0.3400727533467651,-0.310587511308269,-0.5635660336060777,0.6945691253838371,-0.23555209851178205,1.8731989106281377,3.0152499060024596,,,,,,,,,,
2025-07-29,211.03050231933594,231.00999450683594,296.91131591796875,196.25457763671875,195.5750732421875,761.2779541015625,699.52783203125,511.728759765625,175.50009155273438,321.20001220703125,-1.2987651582609505,-0.7646371539299812,1.06016052348743,1.5561973944331564,1.6460653729744257,-5.588341644427086,-2.456705351276456,0.013658563818119696,-0.701563995343113,-1.3483166498468035,,,,,,,,,,
2025-07-30,208.81301879882812,230.19000244140625,302.1023864746094,197.26368713378906,196.35438537597656,758.4142456054688,694.7410888671875,512.3976440429688,179.25990295410156,319.0400085449219,-1.0507881543836084,-0.3549595623255297,1.7483572630403899,0.51418392845759,0.3984721165483096,-0.37617121061562786,-0.6842820177952014,0.13071070651766714,2.14234156125066,-0.6724793213012448,,,,,,,,,,
2025-07-31,207.33470153808594,234.11000061035156,293.1976623535156,192.68777465820312,191.728515625,738.4480590820312,772.9183349609375,532.6243896484375,177.85997009277344,308.2699890136719,-0.7079622090835236,1.7029402351838252,-2.947584832085448,-2.319693270501655,-2.355877991784605,-2.632622823098185,11.252716637391092,3.947470453976676,-0.7809514778586935,-3.3757582882378623,,,,,,,,,,
