Date,Ticker,Price,Daily_Change_%,RollingVol_%,Beta
2025-07-22,AAPL,214.15695190429688,0.9036182474420285,15.665501283302193,1.094
2025-07-23,AAPL,213.9072265625,-0.11660856188711044,15.665501283302193,1.094
2025-07-24,AAPL,213.51766967773438,-0.18211487803653226,15.665501283302193,1.094
2025-07-25,AAPL,213.63754272460938,0.05614197975087887,15.665501283302193,1.094
2025-07-28,AAPL,213.80735778808594,0.07948746335069146,15.665501283302193,1.094
2025-07-29,AAPL,211.03050231933594,-1.2987651582609505,15.665501283302193,1.094
2025-07-30,AAPL,208.81301879882812,-1.0507881543836084,15.665501283302193,1.094
2025-07-31,AAPL,207.33470153808594,-0.7079622090835236,15.665501283302193,1.094
2025-08-01,AAPL,202.1505889892578,-2.50035932739211,15.665501283302193,1.094
2025-08-04,AAPL,203.11949157714844,0.4792974350137147,15.665501283302193,1.094
2025-08-05,AAPL,202.68995666503906,-0.21146907604691068,14.899651396993074,1.094
2025-08-06,AAPL,213.0082550048828,5.090680618623611,28.949186557231034,1.094
2025-08-07,AAPL,219.7805633544922,3.179364268982976,30.96198998353182,1.094
2025-08-08,AAPL,229.0900115966797,4.235792328538146,34.14221422749086,1.094
2025-08-11,AAPL,227.17999267578125,-0.8337416841468825,33.398378135308185,1.094
2025-08-12,AAPL,229.64999389648438,1.0872441677679756,32.35730388022707,1.094
2025-08-13,AAPL,233.3300018310547,1.602441991019199,31.609303357845295,1.094
2025-08-14,AAPL,232.77999877929688,-0.23571895917441354,30.816005202522508,1.094
2025-08-15,AAPL,231.58999633789062,-0.5112133549474374,30.18781565982542,1.094
2025-08-18,AAPL,230.88999938964844,-0.30225698834628334,29.512615646707122,1.094
2025-08-19,AAPL,230.55999755859375,-0.1429259958971918,29.527494712490356,1.094
2025-08-20,AAPL,226.00999450683594,-1.9734572779050663,30.660461992617364,1.094
2025-08-21,AAPL,224.89999389648438,-0.49112899311095637,30.743478777073815,1.094
2025-08-22,AAPL,227.75999450683594,1.2716766064777785,30.929594798597577,1.094
2025-08-25,AAPL,227.16000366210938,-0.26343118159346535,30.9915448590668,1.094
2025-08-26,AAPL,229.30999755859375,0.9464667467088184,30.45511429535771,1.094
2025-08-27,AAPL,230.49000549316406,0.514590705653295,29.945935785963414,1.094
2025-08-28,AAPL,232.55999755859375,0.8980832210059075,29.619231868647066,1.094
2025-08-29,AAPL,232.13999938964844,-0.180597769760249,27.47391321176734,1.094
2025-09-02,AAPL,229.72000122070312,-1.0424735828844955,28.16427246270966,1.094
2025-09-03,AAPL,238.47000122070312,3.8089848308826335,30.1156135989247,1.094
2025-09-04,AAPL,239.77999877929688,0.5493343195739575,25.57143612210278,1.094
2025-09-05,AAPL,239.69000244140625,-0.03753287945149619,23.763089995414987,1.094
2025-09-08,AAPL,237.8800048828125,-0.7551410322323426,19.408166271595935,1.094
2025-09-09,AAPL,234.35000610351562,-1.4839409394815983,19.993867271023138,1.094
2025-09-10,AAPL,226.7899932861328,-3.2259494860194082,22.987153188405173,1.094
2025-09-11,AAPL,230.02999877929688,1.4286368839370622,22.828905134184716,1.094
2025-09-12,AAPL,234.07000732421875,1.7562963814985233,23.705402656227456,1.094
2025-09-15,AAPL,236.6999969482422,1.1235910376080627,23.912238534382134,1.094
2025-09-16,AAPL,238.14999389648438,0.6125884946923899,23.918506167179245,1.094
2025-09-17,AAPL,238.99000549316406,0.35272375318422533,23.89838568542547,1.094
2025-09-18,AAPL,237.8800048828125,-0.46445482440198305,22.65405118796332,1.094
2025-09-19,AAPL,245.5,3.203293660995743,24.71822025287098,1.094
2025-09-22,AAPL,256.0799865722656,4.309566831880085,28.167990126525876,1.094
2025-09-23,AAPL,254.42999267578125,-0.6443275472520216,28.355126488316188,1.094
2025-09-24,AAPL,252.30999755859375,-0.8332331793480807,28.753881620521266,1.094
2025-09-25,AAPL,256.8699951171875,1.8072995928489766,29.129544812839644,1.094
2025-09-26,AAPL,255.4600067138672,-0.5489112898051984,29.35817210711089,1.094
2025-09-29,AAPL,254.42999267578125,-0.4031997224675621,29.43581838460993,1.094
2025-09-30,AAPL,254.6300048828125,0.07861188255666729,28.933663878694837,1.094
2025-10-01,AAPL,255.4499969482422,0.3220327729275496,26.214950075558278,1.094
2025-10-02,AAPL,257.1300048828125,0.657666061710982,26.228288762643537,1.094
2025-10-03,AAPL,258.0199890136719,0.34612223931820285,26.18594596156063,1.094
2025-10-06,AAPL,256.69000244140625,-0.5154587353288997,26.061427850517436,1.094
2025-10-07,AAPL,256.4800109863281,-0.08180741481198517,25.181823162736027,1.094
2025-10-08,AAPL,258.05999755859375,0.6160271773966164,21.07246895026703,1.094
2025-10-09,AAPL,254.0399932861328,-1.5577789314472068,22.253746329403523,1.094
2025-10-10,AAPL,245.27000427246094,-3.4522080166306646,25.77633744419763,1.094
2025-10-13,AAPL,247.66000366210938,0.9744360696440912,25.714378877401447,1.094
2025-10-14,AAPL,247.77000427246094,0.04441597703503941,25.683954200839395,1.094
2025-10-15,AAPL,249.33999633789062,0.6336489641027176,25.723907499136295,1.094
2025-10-16,AAPL,247.4499969482422,-0.7580008893106838,25.848994364784197,1.094
2025-10-17,AAPL,252.2899932861328,1.9559492412937862,24.263779635148886,1.094
2025-10-20,AAPL,263.0899963378906,4.280789305626187,24.19843603811399,1.094
